328862,406349,2700,6,1
234512,240182,3018,5,0
234512,137298,3271,5,0
234512,179830,546,5,0
234512,944554,323,5,0
356311,964080,1783,5,0
356311,308537,1783,5,0
356311,758374,3205,5,0
356311,246033,1783,5,0
272389,1112375,4186,6,1
139859,671759,1487,7,0
102269,60221,2545,5,0
102269,121940,2545,5,0
186568,783801,2361,4,1
186568,899591,3716,4,1
186568,141051,270,4,1
186568,318277,2361,4,1
186568,888875,1277,4,1
186568,40007,1340,4,1
186568,181387,3144,4,1
186568,1044140,3845,4,1
149002,989660,3791,5,2
92396,259853,4587,5,0
92396,259853,4587,5,0
92396,316514,4170,5,0
92396,316514,4170,5,0
92396,568481,2677,5,0
37908,330097,2883,5,0
37908,1010653,2883,5,0
66012,867263,1752,5,1
66012,867263,1752,5,1
66012,780658,1752,5,1
2859,735498,3773,5,0
2859,923725,4628,5,0
2859,351303,4628,5,0
2859,351303,4628,5,0
2859,269288,187,5,0
2859,581038,54,5,0
153790,444179,4218,6,0
153790,634856,1346,6,0
153790,705878,2781,6,0
153790,710302,2781,6,0
153790,209679,158,6,0
153790,444179,4218,6,0
26516,416965,586,4,1
26516,384440,4161,4,1
26516,241232,4161,4,1
26516,846996,2403,4,1
26516,66049,2403,4,1
26516,124948,4161,4,1
26516,544572,586,4,1
26516,258481,4161,4,1
26516,352345,2565,4,1
26516,334700,586,4,1
26516,683349,586,4,1
78617,602004,2561,4,1
78617,1087437,2445,4,1
78617,602004,2561,4,1
366342,197437,4663,4,0
366342,893999,2954,4,0
366342,822957,2954,4,0
366342,822957,2954,4,0
366342,487805,1892,4,0
366342,267380,444,4,0
366342,974222,1892,4,0
366342,651029,444,4,0
366342,545920,2954,4,0
366342,794335,1892,4,0
366342,1039486,4663,4,0
366342,391880,1892,4,0
366342,606409,4663,4,0
366342,676076,4663,4,0
366342,1052189,4663,4,0
366342,354165,2838,4,0
366342,545920,2954,4,0
366342,611231,4663,4,0
171799,1108105,723,0,1
171799,945837,723,0,1
171799,608042,3826,0,1
171799,59447,723,0,1
171799,460461,3826,0,1
106629,450497,828,5,1
106629,337045,4897,5,1
106629,372798,1557,5,1
106629,236222,1107,5,1
106629,933590,2213,5,1
106629,12406,3161,5,1
106629,324807,2213,5,1
237078,246590,2664,4,1
109881,1044140,3845,4,0
109881,434928,2639,4,0
109881,405452,28,4,0
422265,594898,3894,4,0
422265,267981,4815,4,0
422265,572712,1273,4,0
422265,572712,1273,4,0
116591,87133,3835,4,2
300681,894012,2594,5,0
